FIGARO:   
Accelerometer Device Design by Integration of Arduino UNO and MEMS Circuit
by A.Komec Mutlu, U.Mert Tugsal, A.A. Dindar
   
   
   
Device ID:
F012-001.csv
Comp X,Comp Y,Comp Z
,msec|DD:HH:MM:SS:MSEC6.90,5.33,5.22,50,0:00:00:00:50
FIGARO:   
Accelerometer Device Design by Integration of Arduino UNO and MEMS Circuit
by A.Komec Mutlu, U.Mert Tugsal, A.A. Dindar
   
   
   
Device ID:
F012-001.csv
Comp X,Comp Y,Comp Z
,msec|DD:HH:MM:SS:MSEC6.86,5.37,5.18,30,0:00:00:00:30
6.90,5.37,5.22,117,0:00:00:00:117
6.86,5.33,5.14,196,0:00:00:00:196
6.86,5.37,5.22,269,0:00:00:00:269
6.90,5.37,5.26,345,0:00:00:00:345
6.86,5.41,5.18,420,0:00:00:00:420
6.86,5.37,5.22,496,0:00:00:00:496
6.86,5.33,5.22,573,0:00:00:00:573
6.86,5.30,5.22,649,0:00:00:00:649
6.90,5.33,5.18,724,0:00:00:00:724
6.83,5.33,5.18,800,0:00:00:00:800
6.90,5.33,5.22,876,0:00:00:00:876
6.86,5.33,5.30,952,0:00:00:00:952
6.90,5.37,5.18,1028,0:00:00:01:28
6.83,5.37,5.22,1104,0:00:00:01:104
6.90,5.37,5.22,1181,0:00:00:01:181
6.90,5.33,5.22,1261,0:00:00:01:261
6.86,5.33,5.18,1335,0:00:00:01:335
6.86,5.33,5.14,1412,0:00:00:01:412
6.86,5.33,5.22,1488,0:00:00:01:488
6.90,5.33,5.22,1565,0:00:00:01:565
6.86,5.33,5.18,1643,0:00:00:01:643
6.83,5.41,5.18,1720,0:00:00:01:720
6.90,5.33,5.22,1797,0:00:00:01:797
6.86,5.33,5.22,1873,0:00:00:01:873
6.86,5.33,5.18,1950,0:00:00:01:950
6.86,5.33,5.26,2027,0:00:00:02:27
6.86,5.33,5.22,2135,0:00:00:02:135
6.86,5.33,5.26,2181,0:00:00:02:181
6.90,5.37,5.22,2257,0:00:00:02:257
6.86,5.37,5.22,2334,0:00:00:02:334
6.86,5.37,5.22,2415,0:00:00:02:415
6.86,5.37,5.22,2488,0:00:00:02:488
6.90,5.33,5.22,2566,0:00:00:02:566
6.94,5.37,5.18,2642,0:00:00:02:642
6.86,5.33,5.18,2719,0:00:00:02:719
6.86,5.37,5.22,2796,0:00:00:02:796
6.86,5.37,5.18,2873,0:00:00:02:873
