FIGARO:   
Accelerometer Device Design by Integration of Arduino UNO and MEMS Circuit
by A.Komec Mutlu, U.Mert Tugsal, A.A. Dindar
   
   
   
Device ID:
F013-001.csv
Comp X,Comp Y,Comp Z
,msec|DD:HH:MM:SS:MSEC-2.98,7.34,7.34,43,0:00:00:00:43
0.59,-0.90,10.90,4291,0:00:00:04:291
0.63,-0.90,10.94,4374,0:00:00:04:374
0.63,-0.94,10.94,4450,0:00:00:04:450
0.63,-0.90,10.90,4529,0:00:00:04:529
0.59,-0.90,10.94,4608,0:00:00:04:608
0.63,-0.94,10.94,4686,0:00:00:04:686
0.59,-0.90,10.90,4765,0:00:00:04:765
0.59,-0.86,10.94,4845,0:00:00:04:845
0.59,-0.90,10.94,4924,0:00:00:04:924
0.59,-0.90,10.98,5003,0:00:00:05:3
0.59,-0.86,10.94,5080,0:00:00:05:80
0.59,-0.90,10.98,5157,0:00:00:05:157
0.59,-0.90,10.90,5236,0:00:00:05:236
0.59,-0.94,10.94,5316,0:00:00:05:316
0.63,-0.90,10.90,5398,0:00:00:05:398
0.55,-0.90,10.98,5474,0:00:00:05:474
0.59,-0.90,10.94,5553,0:00:00:05:553
0.55,-0.90,10.90,5632,0:00:00:05:632
0.59,-0.98,10.90,5711,0:00:00:05:711
0.63,-0.90,10.98,5790,0:00:00:05:790
0.59,-0.90,10.94,5869,0:00:00:05:869
0.59,-0.90,10.98,5948,0:00:00:05:948
0.63,-0.94,10.98,6027,0:00:00:06:27
0.55,-0.86,10.98,6105,0:00:00:06:105
0.63,-0.94,10.94,6184,0:00:00:06:184
0.59,-0.90,10.98,6263,0:00:00:06:263
0.59,-0.90,11.02,6342,0:00:00:06:342
0.59,-0.90,10.98,6421,0:00:00:06:421
0.59,-0.94,10.98,6504,0:00:00:06:504
0.63,-0.90,10.94,6580,0:00:00:06:580
0.59,-0.90,10.98,6659,0:00:00:06:659
0.59,-0.90,10.98,6737,0:00:00:06:737
0.63,-0.94,10.90,6816,0:00:00:06:816
0.63,-0.94,10.94,6895,0:00:00:06:895
0.63,-0.94,10.94,6975,0:00:00:06:975
0.63,-0.94,10.98,7054,0:00:00:07:54
0.59,-0.90,10.98,7132,0:00:00:07:132
0.63,-0.94,10.98,7211,0:00:00:07:211
0.59,-0.90,10.94,7289,0:00:00:07:289
0.67,-0.94,10.90,7368,0:00:00:07:368
0.59,-0.90,10.98,7448,0:00:00:07:448
0.63,-0.90,10.90,7530,0:00:00:07:530
0.59,-0.90,10.98,7606,0:00:00:07:606
0.59,-0.94,10.94,7685,0:00:00:07:685
0.63,-0.94,10.98,7763,0:00:00:07:763
0.59,-0.86,10.94,7843,0:00:00:07:843
0.59,-0.86,10.94,7922,0:00:00:07:922
0.63,-0.90,10.90,8001,0:00:00:08:1
0.63,-0.90,10.98,8078,0:00:00:08:78
0.59,-0.90,10.98,8156,0:00:00:08:156
0.59,-0.90,10.94,8235,0:00:00:08:235
0.63,-0.90,10.98,8314,0:00:00:08:314
0.59,-0.90,10.94,8393,0:00:00:08:393
0.59,-0.86,10.98,8472,0:00:00:08:472
0.63,-0.94,10.94,8551,0:00:00:08:551
0.63,-0.94,10.98,8634,0:00:00:08:634
0.55,-0.90,10.98,8710,0:00:00:08:710
0.59,-0.90,10.98,8788,0:00:00:08:788
0.67,-0.90,10.94,8867,0:00:00:08:867
0.59,-0.94,10.90,8946,0:00:00:08:946
0.63,-0.90,10.98,9025,0:00:00:09:25
0.59,-0.86,10.94,9104,0:00:00:09:104
0.63,-0.90,10.90,9183,0:00:00:09:183
0.59,-0.90,10.98,9262,0:00:00:09:262
0.55,-0.90,10.94,9340,0:00:00:09:340
0.59,-0.82,10.94,9419,0:00:00:09:419
0.63,-0.90,10.98,9498,0:00:00:09:498
0.63,-0.90,10.94,9586,0:00:00:09:586
0.55,-0.90,10.94,9657,0:00:00:09:657
0.63,-0.94,10.90,9734,0:00:00:09:734
0.59,-0.90,10.94,9815,0:00:00:09:815
0.59,-0.90,10.94,9893,0:00:00:09:893
0.63,-0.90,10.94,9973,0:00:00:09:973
0.63,-0.90,10.94,10052,0:00:00:10:52
0.59,-0.90,10.94,10131,0:00:00:10:131
0.59,-0.90,10.98,10211,0:00:00:10:211
0.63,-0.90,10.98,10291,0:00:00:10:291
0.63,-0.94,10.94,10372,0:00:00:10:372
0.59,-0.94,10.94,10451,0:00:00:10:451
0.63,-0.90,10.98,10531,0:00:00:10:531
0.59,-0.90,10.98,10611,0:00:00:10:611
0.59,-0.90,10.94,10691,0:00:00:10:691
0.63,-0.94,10.98,10775,0:00:00:10:775
0.59,-0.90,10.90,10852,0:00:00:10:852
0.59,-0.94,11.02,10932,0:00:00:10:932
0.59,-0.90,10.98,11012,0:00:00:11:12
0.59,-0.86,10.94,11090,0:00:00:11:90
0.59,-0.90,10.98,11170,0:00:00:11:170
0.59,-0.90,11.02,11250,0:00:00:11:250
0.55,-0.90,10.98,11330,0:00:00:11:330
0.59,-0.90,10.98,11410,0:00:00:11:410
0.63,-0.90,10.94,11490,0:00:00:11:490
0.63,-0.94,10.94,11571,0:00:00:11:571
0.55,-0.94,10.98,11651,0:00:00:11:651
0.59,-0.90,10.94,11730,0:00:00:11:730
0.59,-0.90,10.98,11814,0:00:00:11:814
0.59,-0.90,10.94,11890,0:00:00:11:890
0.59,-0.90,10.90,11971,0:00:00:11:971
0.59,-0.90,10.98,12051,0:00:00:12:51
0.59,-0.86,10.98,12130,0:00:00:12:130
0.63,-0.94,10.98,12210,0:00:00:12:210
0.59,-0.94,10.98,12290,0:00:00:12:290
0.59,-0.86,10.94,12370,0:00:00:12:370
0.59,-0.90,10.98,12450,0:00:00:12:450
0.63,-0.90,10.90,12530,0:00:00:12:530
0.59,-0.86,10.94,12610,0:00:00:12:610
0.63,-0.94,10.94,12690,0:00:00:12:690
0.55,-0.94,10.98,12771,0:00:00:12:771
0.59,-0.94,10.94,12854,0:00:00:12:854
0.59,-0.94,10.94,12931,0:00:00:12:931
0.59,-0.90,10.98,13010,0:00:00:13:10
0.59,-0.90,10.94,13089,0:00:00:13:89
0.63,-0.90,10.98,13169,0:00:00:13:169
0.59,-0.90,10.98,13249,0:00:00:13:249
0.55,-0.90,10.98,13329,0:00:00:13:329
0.59,-0.94,10.94,13409,0:00:00:13:409
0.59,-0.86,10.98,13489,0:00:00:13:489
0.59,-0.94,10.94,13570,0:00:00:13:570
0.59,-0.86,10.94,13649,0:00:00:13:649
0.59,-0.86,10.90,13729,0:00:00:13:729
0.59,-0.90,10.94,13809,0:00:00:13:809
0.63,-0.94,10.98,13893,0:00:00:13:893
0.59,-0.90,10.98,13970,0:00:00:13:970
0.59,-0.90,10.98,14050,0:00:00:14:50
0.59,-0.90,10.90,14129,0:00:00:14:129
0.59,-0.90,10.98,14209,0:00:00:14:209
0.59,-0.90,10.94,14289,0:00:00:14:289
0.59,-0.90,10.98,14369,0:00:00:14:369
0.59,-0.90,10.94,14449,0:00:00:14:449
0.59,-0.94,10.94,14529,0:00:00:14:529
0.63,-0.94,10.90,14609,0:00:00:14:609
0.63,-0.90,10.98,14690,0:00:00:14:690
0.59,-0.94,10.94,14770,0:00:00:14:770
0.59,-0.86,10.90,14850,0:00:00:14:850
0.63,-0.94,10.98,14932,0:00:00:14:932
0.59,-0.94,10.94,15009,0:00:00:15:9
0.59,-0.86,10.90,15088,0:00:00:15:88
0.63,-0.94,10.94,15167,0:00:00:15:167
0.63,-0.94,10.98,15247,0:00:00:15:247
0.59,-0.90,10.94,15327,0:00:00:15:327
0.55,-0.90,10.98,15407,0:00:00:15:407
0.59,-0.86,10.94,15488,0:00:00:15:488
0.59,-0.94,10.98,15567,0:00:00:15:567
0.63,-0.94,11.02,15647,0:00:00:15:647
0.59,-0.90,10.94,15727,0:00:00:15:727
0.59,-0.86,10.94,15807,0:00:00:15:807
0.55,-0.90,10.94,15888,0:00:00:15:888
0.59,-0.86,10.94,15968,0:00:00:15:968
0.59,-0.94,10.94,16051,0:00:00:16:51
0.59,-0.90,11.02,16126,0:00:00:16:126
0.59,-0.90,10.94,16206,0:00:00:16:206
0.59,-0.90,10.94,16287,0:00:00:16:287
0.63,-0.90,10.94,16367,0:00:00:16:367
0.55,-0.86,10.94,16447,0:00:00:16:447
0.59,-0.94,10.94,16527,0:00:00:16:527
0.55,-0.90,10.94,16607,0:00:00:16:607
0.63,-0.94,10.98,16688,0:00:00:16:688
0.63,-0.90,10.94,16768,0:00:00:16:768
0.59,-0.90,10.94,16847,0:00:00:16:847
0.59,-0.90,10.98,16927,0:00:00:16:927
0.63,-0.90,10.98,17007,0:00:00:17:7
0.59,-0.90,10.94,17089,0:00:00:17:89
0.59,-0.86,10.94,17165,0:00:00:17:165
0.59,-0.90,10.98,17245,0:00:00:17:245
0.59,-0.90,10.94,17325,0:00:00:17:325
0.63,-0.90,10.90,17404,0:00:00:17:404
0.63,-0.90,10.94,17485,0:00:00:17:485
0.59,-0.94,10.94,17565,0:00:00:17:565
0.59,-0.90,10.94,17645,0:00:00:17:645
0.63,-0.94,10.94,17725,0:00:00:17:725
0.55,-0.90,11.02,17805,0:00:00:17:805
0.59,-0.90,10.90,17886,0:00:00:17:886
0.59,-0.94,10.94,17966,0:00:00:17:966
0.63,-0.86,10.94,18045,0:00:00:18:45
0.59,-0.90,10.94,18128,0:00:00:18:128
0.59,-0.90,10.94,18204,0:00:00:18:204
0.59,-0.90,10.98,18285,0:00:00:18:285
0.59,-0.90,10.94,18365,0:00:00:18:365
0.59,-0.90,10.98,18445,0:00:00:18:445
0.59,-0.94,10.94,18525,0:00:00:18:525
0.59,-0.90,10.94,18605,0:00:00:18:605
0.59,-0.86,10.94,18685,0:00:00:18:685
0.55,-0.86,10.90,18765,0:00:00:18:765
0.63,-0.90,10.98,18845,0:00:00:18:845
0.63,-0.94,10.98,18925,0:00:00:18:925
0.63,-0.94,10.94,19006,0:00:00:19:6
0.59,-0.90,10.90,19084,0:00:00:19:84
0.59,-0.90,10.94,19174,0:00:00:19:174
0.55,-0.90,10.94,19251,0:00:00:19:251
0.59,-0.86,10.94,19322,0:00:00:19:322
0.59,-0.90,11.02,19402,0:00:00:19:402
0.59,-0.90,10.94,19483,0:00:00:19:483
0.59,-0.90,10.94,19563,0:00:00:19:563
0.55,-0.90,10.94,19643,0:00:00:19:643
0.63,-0.90,10.94,19723,0:00:00:19:723
0.63,-0.94,10.94,19803,0:00:00:19:803
0.59,-0.90,10.98,19884,0:00:00:19:884
0.59,-0.90,10.98,19963,0:00:00:19:963
0.59,-0.90,10.98,20043,0:00:00:20:43
0.63,-0.94,10.94,20122,0:00:00:20:122
0.67,-0.90,10.98,20206,0:00:00:20:206
0.59,-0.90,10.94,20283,0:00:00:20:283
0.59,-0.90,10.94,20363,0:00:00:20:363
0.63,-0.90,10.98,20443,0:00:00:20:443
0.63,-0.90,10.94,20523,0:00:00:20:523
0.63,-0.94,10.94,20602,0:00:00:20:602
0.59,-0.90,10.94,20683,0:00:00:20:683
0.59,-0.94,10.94,20763,0:00:00:20:763
0.55,-0.90,10.94,20843,0:00:00:20:843
0.59,-0.90,10.94,20923,0:00:00:20:923
0.59,-0.90,10.94,21003,0:00:00:21:3
0.59,-0.90,10.94,21082,0:00:00:21:82
0.59,-0.90,10.94,21160,0:00:00:21:160
0.59,-0.94,10.90,21240,0:00:00:21:240
0.63,-0.90,10.98,21324,0:00:00:21:324
0.59,-0.90,10.90,21400,0:00:00:21:400
0.59,-0.94,10.94,21481,0:00:00:21:481
0.55,-0.90,10.98,21561,0:00:00:21:561
0.63,-0.90,10.94,21641,0:00:00:21:641
0.59,-0.90,10.98,21721,0:00:00:21:721
0.59,-0.90,10.94,21800,0:00:00:21:800
0.55,-0.90,10.94,21881,0:00:00:21:881
0.59,-0.86,10.98,21961,0:00:00:21:961
0.63,-0.94,10.94,22041,0:00:00:22:41
0.59,-0.90,10.98,22120,0:00:00:22:120
0.55,-0.90,10.98,22200,0:00:00:22:200
0.63,-0.86,10.94,22281,0:00:00:22:281
0.59,-0.90,10.98,22364,0:00:00:22:364
0.59,-0.94,10.94,22440,0:00:00:22:440
0.59,-0.94,10.94,22520,0:00:00:22:520
0.63,-0.90,10.98,22600,0:00:00:22:600
0.63,-0.90,10.94,22681,0:00:00:22:681
0.59,-0.90,10.94,22761,0:00:00:22:761
0.59,-0.90,10.94,22841,0:00:00:22:841
0.59,-0.90,11.02,22921,0:00:00:22:921
0.59,-0.90,10.94,23001,0:00:00:23:1
0.63,-0.86,10.94,23079,0:00:00:23:79
0.59,-0.86,10.94,23158,0:00:00:23:158
0.59,-0.90,10.94,23238,0:00:00:23:238
0.59,-0.90,10.94,23318,0:00:00:23:318
0.63,-0.94,10.98,23402,0:00:00:23:402
0.63,-0.90,10.98,23479,0:00:00:23:479
0.59,-0.90,10.94,23559,0:00:00:23:559
0.63,-0.90,10.94,23639,0:00:00:23:639
0.55,-0.90,10.98,23718,0:00:00:23:718
0.59,-0.90,10.98,23798,0:00:00:23:798
0.59,-0.90,10.98,23879,0:00:00:23:879
0.59,-0.86,10.94,23959,0:00:00:23:959
0.59,-0.94,10.98,24039,0:00:00:24:39
0.59,-0.90,10.94,24118,0:00:00:24:118
0.59,-0.86,10.98,24198,0:00:00:24:198
0.59,-0.86,11.02,24279,0:00:00:24:279
0.63,-0.94,10.94,24358,0:00:00:24:358
0.59,-0.86,10.98,24441,0:00:00:24:441
0.59,-0.94,10.94,24518,0:00:00:24:518
0.63,-0.90,10.94,24598,0:00:00:24:598
0.63,-0.90,10.94,24679,0:00:00:24:679
0.59,-0.90,10.94,24759,0:00:00:24:759
0.55,-0.94,10.90,24839,0:00:00:24:839
0.63,-0.86,10.98,24919,0:00:00:24:919
0.59,-0.90,10.94,24999,0:00:00:24:999
0.63,-0.90,10.98,25079,0:00:00:25:79
0.59,-0.90,10.98,25158,0:00:00:25:158
0.59,-0.90,10.94,25238,0:00:00:25:238
0.59,-0.90,10.94,25318,0:00:00:25:318
0.63,-0.90,10.90,25398,0:00:00:25:398
0.63,-0.90,11.02,25482,0:00:00:25:482
0.59,-0.94,10.94,25559,0:00:00:25:559
0.63,-0.94,10.94,25638,0:00:00:25:638
0.59,-0.90,10.94,25718,0:00:00:25:718
0.59,-0.90,11.02,25798,0:00:00:25:798
0.59,-0.86,10.98,25879,0:00:00:25:879
0.55,-0.94,10.94,25959,0:00:00:25:959
0.59,-0.90,10.94,26039,0:00:00:26:39
0.63,-0.86,11.02,26118,0:00:00:26:118
0.63,-0.90,10.94,26198,0:00:00:26:198
0.63,-0.90,10.90,26278,0:00:00:26:278
0.59,-0.90,11.02,26358,0:00:00:26:358
0.63,-0.94,10.98,26438,0:00:00:26:438
0.59,-0.94,10.94,26522,0:00:00:26:522
0.59,-0.90,10.94,26598,0:00:00:26:598
0.59,-0.90,10.98,26679,0:00:00:26:679
0.55,-0.86,10.98,26759,0:00:00:26:759
0.63,-0.90,10.98,26839,0:00:00:26:839
0.55,-0.86,10.94,26918,0:00:00:26:918
0.55,-0.86,10.98,26998,0:00:00:26:998
0.59,-0.94,10.94,27079,0:00:00:27:79
0.63,-0.94,10.94,27158,0:00:00:27:158
0.59,-0.90,10.98,27238,0:00:00:27:238
0.63,-0.90,10.98,27318,0:00:00:27:318
0.55,-0.90,10.94,27398,0:00:00:27:398
0.55,-0.90,10.98,27479,0:00:00:27:479
0.63,-0.90,10.98,27558,0:00:00:27:558
0.59,-0.86,10.94,27641,0:00:00:27:641
0.63,-0.90,10.94,27718,0:00:00:27:718
0.59,-0.90,10.98,27798,0:00:00:27:798
0.63,-0.90,10.94,27879,0:00:00:27:879
0.59,-0.86,10.94,27959,0:00:00:27:959
0.59,-0.86,10.94,28039,0:00:00:28:39
0.55,-0.90,10.98,28118,0:00:00:28:118
0.63,-0.94,10.94,28198,0:00:00:28:198
0.59,-0.90,10.94,28278,0:00:00:28:278
0.59,-0.90,10.94,28358,0:00:00:28:358
0.55,-0.90,10.94,28438,0:00:00:28:438
0.59,-0.90,10.98,28518,0:00:00:28:518
0.59,-0.94,10.98,28599,0:00:00:28:599
0.59,-0.90,10.94,28682,0:00:00:28:682
0.63,-0.86,10.98,28767,0:00:00:28:767
0.55,-0.90,10.94,28838,0:00:00:28:838
0.59,-0.90,10.98,28918,0:00:00:28:918
0.63,-0.90,10.98,28998,0:00:00:28:998
0.63,-0.90,10.94,29079,0:00:00:29:79
0.63,-0.86,10.94,29158,0:00:00:29:158
0.63,-0.86,10.90,29238,0:00:00:29:238
0.59,-0.94,11.02,29318,0:00:00:29:318
0.63,-0.90,10.98,29398,0:00:00:29:398
0.63,-0.90,10.94,29478,0:00:00:29:478
0.59,-0.90,10.94,29558,0:00:00:29:558
0.59,-0.90,10.94,29638,0:00:00:29:638
0.59,-0.90,10.98,29721,0:00:00:29:721
0.59,-0.90,11.02,29798,0:00:00:29:798
0.63,-0.90,10.98,29879,0:00:00:29:879
0.59,-0.90,10.94,29959,0:00:00:29:959
0.59,-0.94,10.94,30039,0:00:00:30:39
0.59,-0.90,10.98,30117,0:00:00:30:117
0.59,-0.90,10.98,30197,0:00:00:30:197
